Achiral,Chiral A,Chiral B
14776,813,795
14278,1098,1008
13882,1295,1207
13458,1460,1466
13060,1705,1619
12560,1964,1860
11991,2265,2128
11389,2549,2446
10729,2859,2796
10070,3164,3150
9356,3547,3481
8560,3980,3844
7838,4334,4212
7093,4705,4586
6321,5119,4944
5588,5488,5308
4836,5827,5721
4161,6146,6077
3495,6466,6423
2956,6717,6711
2511,6935,6938
2089,7092,7203
1786,7230,7368
1566,7281,7537
1353,7406,7625
1161,7507,7716
1130,7477,7777
1034,7533,7817
897,7613,7874
956,7564,7864
860,7662,7862
887,7606,7891
940,7584,7860
896,7613,7875
877,7627,7880
912,7650,7822
893,7642,7849
891,7639,7854
857,7684,7843
856,7679,7849
879,7660,7845
863,7636,7885
803,7659,7922
882,7649,7853
918,7647,7819
857,7644,7883
858,7658,7868
894,7668,7822
790,7708,7886
795,7691,7898
787,7697,7900
815,7705,7864
789,7715,7880
846,7685,7853
771,7758,7855
776,7750,7858
813,7738,7833
774,7747,7863
737,7805,7842
794,7775,7815
715,7795,7874
786,7762,7836
766,7767,7851
778,7747,7859
794,7779,7811
770,7757,7857
782,7740,7862
726,7790,7868
720,7796,7868
752,7751,7881
765,7729,7890
807,7751,7826
726,7796,7862
758,7797,7829
755,7806,7823
702,7837,7845
752,7779,7853
791,7762,7831
749,7767,7868
735,7821,7828
715,7790,7879
735,7827,7822
773,7746,7865
710,7784,7890
765,7791,7828
685,7842,7857
668,7879,7837
701,7833,7850
703,7874,7807
684,7895,7805
756,7843,7785
749,7844,7791
735,7839,7810
709,7832,7843
744,7855,7785
735,7802,7847
694,7827,7863
722,7841,7821
667,7822,7895
654,7813,7917
714,7826,7844
734,7794,7856
710,7850,7824
721,7794,7869
707,7772,7905
699,7786,7899
700,7789,7895
637,7807,7940
701,7767,7916
687,7754,7943
735,7771,7878
660,7799,7925
712,7782,7890
712,7746,7926
667,7762,7955
704,7733,7947
711,7749,7924
755,7740,7889
689,7794,7901
655,7786,7943
663,7801,7920
716,7740,7928
670,7773,7941
644,7772,7968
685,7774,7925
732,7673,7979
687,7684,8013
656,7694,8034
718,7674,7992
700,7673,8011
680,7700,8004
663,7711,8010
693,7663,8028
625,7726,8033
658,7649,8077
754,7606,8024
722,7615,8047
733,7621,8030
654,7645,8085
755,7609,8020
641,7649,8094
751,7581,8052
643,7605,8136
667,7560,8157
702,7530,8152
659,7611,8114
708,7562,8114
668,7594,8122
688,7565,8131
680,7546,8158
690,7568,8126
705,7584,8095
648,7529,8207
707,7515,8162
716,7554,8114
709,7526,8149
650,7585,8149
683,7560,8141
664,7566,8154
676,7589,8119
683,7555,8146
717,7559,8108
597,7580,8207
673,7529,8182
660,7496,8228
634,7527,8223
660,7494,8230
660,7506,8218
591,7515,8278
621,7473,8290
662,7459,8263
693,7437,8254
668,7452,8264
688,7429,8267
655,7433,8296
673,7384,8327
718,7403,8263
741,7419,8224
707,7426,8251
692,7440,8252
711,7482,8191
695,7453,8236
699,7420,8265
687,7435,8262
682,7444,8258
682,7433,8269
679,7473,8232
656,7469,8259
662,7448,8274
638,7440,8306
655,7449,8280
622,7463,8299
619,7424,8341
672,7418,8294
616,7454,8314
660,7437,8287
667,7406,8311
671,7429,8284
652,7410,8322
630,7423,8331
696,7367,8321
630,7370,8384
683,7396,8305
584,7457,8343
673,7372,8339
608,7378,8398
610,7400,8374
657,7415,8312
667,7392,8325
625,7413,8346
708,7370,8306
660,7422,8302
684,7393,8307
696,7404,8284
695,7399,8290
677,7441,8266
678,7401,8305
679,7393,8312
698,7362,8324
672,7350,8362
641,7362,8381
634,7396,8354
674,7349,8361
681,7368,8335
691,7375,8318
670,7352,8362
640,7368,8376
659,7314,8411
674,7328,8382
646,7354,8384
679,7277,8428
632,7296,8456
601,7322,8461
645,7317,8422
640,7310,8434
712,7287,8385
640,7321,8423
608,7295,8481
637,7292,8455
678,7287,8419
669,7271,8444
660,7289,8435
693,7266,8425
650,7271,8463
720,7238,8426
667,7301,8416
641,7297,8446
663,7241,8480
653,7279,8452
640,7304,8440
623,7313,8448
