Achiral,Chiral A,Chiral B
3703,181,212
3591,241,264
3452,295,349
3302,386,408
3189,432,475
3069,514,513
2921,586,589
2754,683,659
2575,779,742
2401,899,796
2125,1041,930
1912,1170,1014
1675,1296,1125
1474,1401,1221
1274,1477,1345
1070,1609,1417
867,1672,1557
710,1762,1624
583,1812,1701
493,1852,1751
391,1873,1832
372,1895,1829
340,1911,1845
325,1936,1835
271,1979,1846
263,1977,1856
292,1965,1839
242,2003,1851
285,1989,1822
270,1979,1847
243,1990,1863
271,1968,1857
233,2001,1862
289,2003,1804
245,2016,1835
264,2002,1830
234,2024,1838
264,2017,1815
244,2027,1825
293,2008,1795
315,2002,1779
264,2031,1801
233,2051,1812
276,2032,1788
223,2045,1828
309,2012,1775
241,2042,1813
253,1997,1846
264,2004,1828
223,2060,1813
199,2049,1848
251,2023,1822
225,2036,1835
210,2064,1822
222,2028,1846
257,2001,1838
216,2028,1852
232,2015,1849
217,2020,1859
207,2045,1844
237,2024,1835
225,2020,1851
265,1988,1843
228,1992,1876
244,1980,1872
205,2014,1877
220,1995,1881
231,2023,1842
249,2019,1828
279,2000,1817
294,1981,1821
236,2010,1850
236,2031,1829
235,1995,1866
253,1986,1857
238,1999,1859
249,1976,1871
237,1977,1882
185,2010,1901
234,2004,1858
243,1990,1863
235,1987,1874
229,2008,1859
215,2012,1869
216,2016,1864
232,1999,1865
215,2015,1866
214,2015,1867
230,2007,1859
196,2010,1890
233,1993,1870
237,1985,1874
245,1975,1876
214,1985,1897
216,1996,1884
204,1983,1909
203,1982,1911
218,1970,1908
216,1965,1915
228,1979,1889
207,1979,1910
