Achiral,Chiral A,Chiral B
3703,181,212
3387,383,326
3119,531,446
2811,690,595
2449,876,771
2173,1050,873
1814,1277,1005
1549,1406,1141
1389,1494,1213
1227,1606,1263
1036,1692,1368
927,1795,1374
829,1848,1419
711,1909,1476
692,1946,1458
605,2003,1488
600,2028,1468
586,2050,1460
550,2078,1468
574,2059,1463
530,2124,1442
567,2138,1391
576,2135,1385
547,2162,1387
519,2163,1414
536,2145,1415
472,2223,1401
513,2191,1392
467,2224,1405
463,2255,1378
515,2214,1367
524,2222,1350
526,2204,1366
542,2198,1356
465,2270,1361
509,2211,1376
508,2227,1361
482,2261,1353
508,2231,1357
507,2255,1334
548,2241,1307
460,2282,1354
413,2334,1349
476,2280,1340
498,2311,1287
503,2291,1302
569,2257,1270
556,2328,1212
498,2338,1260
434,2395,1267
453,2442,1201
457,2444,1195
436,2452,1208
456,2481,1159
479,2464,1153
491,2422,1183
494,2426,1176
478,2437,1181
470,2421,1205
470,2406,1220
435,2426,1235
495,2395,1206
465,2447,1184
449,2471,1176
443,2491,1162
436,2498,1162
447,2479,1170
430,2492,1174
466,2453,1177
431,2470,1195
459,2523,1114
430,2515,1151
474,2484,1138
493,2495,1108
467,2528,1101
446,2543,1107
440,2538,1118
451,2540,1105
496,2519,1081
449,2544,1103
459,2528,1109
481,2542,1073
480,2550,1066
446,2596,1054
450,2554,1092
468,2549,1079
447,2544,1105
466,2531,1099
440,2559,1097
479,2510,1107
483,2521,1092
544,2492,1060
447,2563,1086
449,2554,1093
456,2544,1096
429,2547,1120
473,2533,1090
485,2555,1056
448,2596,1052
459,2593,1044
412,2643,1041
