Achiral,Chiral A,Chiral B
3703,181,212
3534,274,288
3330,389,377
3156,454,486
2945,596,555
2751,697,648
2558,813,725
2315,945,836
2018,1121,957
1789,1254,1053
1537,1410,1149
1292,1510,1294
1080,1613,1403
931,1706,1459
762,1792,1542
690,1845,1561
560,1893,1643
479,1986,1631
471,1975,1650
428,1959,1709
396,1981,1719
392,1962,1742
380,1963,1753
363,1957,1776
344,1937,1815
406,1879,1811
375,1882,1839
374,1855,1867
358,1859,1879
351,1864,1881
298,1878,1920
340,1856,1900
314,1870,1912
313,1898,1885
317,1894,1885
332,1876,1888
333,1862,1901
341,1865,1890
324,1866,1906
346,1846,1904
309,1890,1897
379,1847,1870
315,1889,1892
322,1894,1880
311,1876,1909
325,1858,1913
301,1895,1900
314,1877,1905
313,1893,1890
321,1891,1884
321,1887,1888
285,1890,1921
308,1893,1895
331,1863,1902
291,1885,1920
311,1858,1927
274,1878,1944
317,1849,1930
343,1836,1917
326,1852,1918
321,1848,1927
330,1831,1935
275,1855,1966
327,1836,1933
285,1838,1973
318,1833,1945
303,1846,1947
322,1848,1926
324,1869,1903
346,1858,1892
311,1890,1895
305,1884,1907
309,1900,1887
297,1925,1874
342,1880,1874
311,1904,1881
288,1905,1903
293,1916,1887
306,1881,1909
315,1857,1924
295,1915,1886
313,1893,1890
283,1895,1918
346,1868,1882
289,1878,1929
295,1874,1927
297,1883,1916
264,1906,1926
307,1877,1912
290,1877,1929
282,1855,1959
301,1873,1922
287,1853,1956
287,1857,1952
256,1855,1985
289,1846,1961
294,1855,1947
313,1844,1939
334,1804,1958
270,1849,1977
292,1811,1993
