Achiral,Chiral A,Chiral B
3703,181,212
3571,252,273
3408,340,348
3235,410,451
3061,507,528
2882,588,626
2719,662,715
2502,796,798
2258,922,916
2029,1034,1033
1754,1196,1146
1454,1334,1308
1248,1428,1420
1037,1554,1505
837,1665,1594
691,1725,1680
602,1769,1725
526,1816,1754
438,1832,1826
365,1884,1847
356,1881,1859
359,1886,1851
361,1882,1853
324,1872,1900
303,1859,1934
298,1876,1922
323,1856,1917
314,1868,1914
323,1867,1906
289,1867,1940
326,1852,1918
331,1853,1912
317,1875,1904
273,1887,1936
301,1863,1932
261,1888,1947
262,1908,1926
290,1884,1922
304,1890,1902
302,1872,1922
310,1868,1918
302,1877,1917
304,1890,1902
253,1916,1927
288,1877,1931
268,1871,1957
287,1856,1953
307,1856,1933
301,1886,1909
294,1864,1938
261,1893,1942
240,1879,1977
291,1850,1955
300,1822,1974
315,1839,1942
266,1850,1980
259,1849,1988
288,1844,1964
232,1860,2004
271,1830,1995
258,1825,2013
302,1816,1978
241,1853,2002
247,1850,1999
245,1821,2030
264,1805,2027
271,1814,2011
295,1825,1976
274,1842,1980
268,1842,1986
285,1819,1992
261,1836,1999
236,1851,2009
272,1834,1990
255,1852,1989
262,1851,1983
223,1853,2020
269,1846,1981
249,1885,1962
243,1876,1977
236,1877,1983
269,1882,1945
261,1886,1949
265,1853,1978
263,1878,1955
240,1888,1968
277,1877,1942
204,1902,1990
267,1876,1953
269,1870,1957
261,1895,1940
280,1870,1946
262,1887,1947
249,1890,1957
228,1914,1954
252,1876,1968
260,1868,1968
255,1881,1960
244,1892,1960
265,1854,1977
265,1853,1978
