Achiral,Chiral A,Chiral B
3703,181,212
3588,229,279
3423,311,362
3285,373,438
3160,417,519
2968,501,627
2817,558,721
2633,621,842
2411,729,956
2219,793,1084
1986,895,1215
1766,1017,1313
1541,1115,1440
1313,1215,1568
1123,1260,1713
926,1354,1816
768,1419,1909
640,1470,1986
504,1509,2083
442,1546,2108
386,1575,2135
313,1569,2214
309,1546,2241
298,1530,2268
300,1538,2258
271,1522,2303
273,1496,2327
251,1515,2330
240,1501,2355
221,1471,2404
260,1451,2385
231,1492,2373
265,1476,2355
233,1470,2393
227,1458,2411
273,1426,2397
268,1431,2397
220,1425,2451
243,1401,2452
255,1412,2429
262,1404,2430
235,1376,2485
278,1379,2439
240,1381,2475
240,1369,2487
249,1326,2521
253,1335,2508
239,1328,2529
212,1336,2548
253,1315,2528
220,1313,2563
244,1311,2541
226,1331,2539
232,1331,2533
225,1322,2549
218,1304,2574
247,1269,2580
246,1272,2578
215,1287,2594
238,1257,2601
188,1257,2651
219,1238,2639
235,1219,2642
186,1240,2670
221,1204,2671
219,1206,2671
219,1189,2688
238,1200,2658
189,1190,2717
206,1184,2706
192,1181,2723
217,1166,2713
217,1146,2733
218,1141,2737
241,1122,2733
204,1117,2775
209,1113,2774
215,1107,2774
212,1112,2772
222,1086,2788
188,1101,2807
230,1110,2756
207,1101,2788
197,1109,2790
224,1090,2782
210,1083,2803
211,1086,2799
224,1093,2779
203,1111,2782
191,1100,2805
203,1079,2814
249,1085,2762
200,1106,2790
205,1101,2790
229,1076,2791
193,1086,2817
204,1071,2821
239,1062,2795
227,1062,2807
188,1061,2847
185,1055,2856
