Achiral,Chiral A,Chiral B
14776,813,795
14274,1099,1011
13784,1389,1211
13303,1650,1431
12816,1911,1657
12231,2213,1940
11574,2583,2227
10910,2888,2586
10222,3257,2905
9439,3613,3332
8663,3995,3726
7797,4468,4119
6956,4918,4510
6140,5409,4835
5341,5804,5239
4531,6277,5576
3866,6666,5852
3295,7020,6069
2690,7374,6320
2255,7598,6531
1927,7806,6651
1668,7984,6732
1505,8100,6779
1389,8243,6752
1189,8392,6803
1143,8413,6828
1075,8477,6832
1079,8469,6836
1040,8534,6810
1024,8531,6829
998,8597,6789
997,8613,6774
994,8650,6740
932,8714,6738
970,8768,6646
950,8795,6639
1001,8824,6559
943,8875,6566
993,8911,6480
892,8978,6514
924,8996,6464
901,9056,6427
964,9016,6404
872,9095,6417
968,9081,6335
977,9088,6319
890,9185,6309
917,9152,6315
920,9145,6319
888,9206,6290
907,9195,6282
886,9225,6273
884,9221,6279
856,9276,6252
885,9238,6261
857,9280,6247
840,9320,6224
902,9330,6152
852,9379,6153
845,9413,6126
885,9443,6056
874,9452,6058
803,9539,6042
840,9542,6002
890,9521,5973
893,9546,5945
844,9580,5960
830,9608,5946
863,9668,5853
835,9671,5878
750,9723,5911
827,9694,5863
876,9695,5813
879,9677,5828
817,9697,5870
870,9704,5810
881,9691,5812
847,9764,5773
828,9803,5753
848,9774,5762
823,9827,5734
842,9850,5692
823,9864,5697
821,9924,5639
865,9891,5628
798,9942,5644
808,9886,5690
846,9896,5642
793,9957,5634
822,9931,5631
836,9963,5585
859,9972,5553
826,10013,5545
754,10084,5546
838,10037,5509
786,10050,5548
832,10086,5466
781,10138,5465
783,10134,5467
807,10148,5429
830,10153,5401
826,10130,5428
814,10138,5432
806,10177,5401
747,10241,5396
761,10219,5404
826,10226,5332
791,10243,5350
824,10254,5306
822,10274,5288
792,10292,5300
796,10352,5236
789,10345,5250
783,10356,5245
786,10439,5159
850,10394,5140
816,10432,5136
823,10469,5092
829,10470,5085
798,10481,5105
851,10450,5083
772,10554,5058
797,10497,5090
800,10527,5057
791,10576,5017
784,10568,5032
798,10627,4959
785,10653,4946
776,10671,4937
750,10677,4957
796,10698,4890
720,10780,4884
779,10738,4867
757,10752,4875
689,10833,4862
759,10815,4810
808,10806,4770
741,10844,4799
762,10877,4745
779,10879,4726
788,10898,4698
776,10910,4698
772,10932,4680
756,10979,4649
752,11025,4607
729,10999,4656
804,10987,4593
756,11042,4586
812,11012,4560
750,11066,4568
785,11056,4543
772,11092,4520
744,11099,4541
757,11130,4497
713,11180,4491
731,11215,4438
790,11169,4425
765,11210,4409
724,11249,4411
693,11316,4375
712,11319,4353
747,11322,4315
757,11313,4314
785,11326,4273
735,11377,4272
769,11376,4239
790,11385,4209
755,11381,4248
752,11402,4230
777,11404,4203
709,11416,4259
783,11397,4204
745,11486,4153
726,11509,4149
755,11526,4103
827,11456,4101
749,11537,4098
764,11522,4098
742,11570,4072
769,11562,4053
743,11600,4041
742,11618,4024
785,11586,4013
725,11630,4029
696,11669,4019
801,11616,3967
725,11675,3984
799,11656,3929
752,11709,3923
736,11684,3964
768,11678,3938
723,11706,3955
759,11741,3884
698,11780,3906
768,11782,3834
784,11743,3857
723,11826,3835
694,11857,3833
752,11828,3804
722,11895,3767
712,11890,3782
668,11940,3776
730,11907,3747
727,11920,3737
782,11893,3709
776,11869,3739
736,11954,3694
735,11965,3684
773,11938,3673
722,11970,3692
739,11980,3665
754,12022,3608
779,12025,3580
742,12039,3603
712,12106,3566
747,12080,3557
709,12168,3507
746,12108,3530
769,12105,3510
679,12199,3506
703,12229,3452
673,12257,3454
737,12241,3406
696,12273,3415
756,12260,3368
739,12241,3404
704,12341,3339
715,12319,3350
753,12316,3315
688,12380,3316
661,12408,3315
671,12420,3293
728,12353,3303
750,12310,3324
742,12339,3303
731,12364,3289
700,12370,3314
756,12334,3294
740,12368,3276
711,12446,3227
697,12405,3282
722,12415,3247
710,12427,3247
724,12470,3190
684,12482,3218
681,12479,3224
697,12474,3213
739,12470,3175
689,12506,3189
713,12537,3134
780,12525,3079
