Achiral,Chiral A,Chiral B
3703,181,212
3549,263,284
3370,364,362
3208,457,431
3070,536,490
2912,617,567
2733,684,679
2518,806,772
2328,926,842
2105,1050,941
1813,1195,1088
1579,1321,1196
1355,1457,1284
1082,1635,1379
934,1741,1421
777,1831,1488
618,1950,1528
514,2002,1580
451,2033,1612
445,2038,1613
419,2060,1617
374,2102,1620
357,2102,1637
349,2099,1648
298,2161,1637
321,2137,1638
317,2156,1623
322,2146,1628
299,2158,1639
286,2168,1642
292,2159,1645
316,2150,1630
285,2157,1654
271,2173,1652
292,2181,1623
272,2210,1614
257,2194,1645
285,2189,1622
271,2173,1652
285,2145,1666
284,2151,1661
306,2140,1650
319,2151,1626
279,2165,1652
269,2179,1648
272,2182,1642
260,2189,1647
288,2179,1629
238,2227,1631
228,2205,1663
252,2209,1635
282,2202,1612
290,2205,1601
252,2193,1651
267,2189,1640
249,2183,1664
285,2148,1663
260,2156,1680
237,2166,1693
250,2162,1684
267,2156,1673
267,2152,1677
198,2199,1699
268,2149,1679
248,2183,1665
263,2168,1665
272,2161,1663
288,2168,1640
277,2159,1660
267,2174,1655
253,2176,1667
250,2177,1669
222,2207,1667
286,2180,1630
250,2174,1672
227,2194,1675
268,2195,1633
285,2204,1607
246,2231,1619
240,2262,1594
275,2238,1583
251,2228,1617
264,2225,1607
264,2242,1590
228,2254,1614
255,2254,1587
234,2250,1612
242,2234,1620
265,2236,1595
237,2250,1609
240,2266,1590
241,2267,1588
240,2263,1593
246,2257,1593
245,2258,1593
283,2223,1590
256,2250,1590
238,2269,1589
262,2249,1585
268,2222,1606
300,2193,1603
