Achiral,Chiral A,Chiral B
14776,813,795
14053,1177,1154
13464,1477,1443
12850,1817,1717
12087,2195,2102
11339,2579,2466
10472,2991,2921
9609,3467,3308
8568,4015,3801
7611,4501,4272
6653,4977,4754
5695,5429,5260
4820,5896,5668
4119,6240,6025
3457,6569,6358
2973,6818,6593
2449,7067,6868
2138,7221,7025
1861,7396,7127
1629,7605,7150
1550,7565,7269
1511,7541,7332
1430,7584,7370
1340,7557,7487
1331,7511,7542
1293,7505,7586
1308,7498,7578
1255,7480,7649
1192,7513,7679
1277,7403,7704
1193,7454,7737
1143,7486,7755
1221,7410,7753
1231,7399,7754
1242,7419,7723
1184,7479,7721
1101,7526,7757
1215,7517,7652
1182,7493,7709
1295,7444,7645
1166,7499,7719
1145,7508,7731
1193,7460,7731
1219,7422,7743
1122,7530,7732
1113,7490,7781
1212,7441,7731
1223,7413,7748
1132,7428,7824
1197,7387,7800
1102,7432,7850
1124,7441,7819
1080,7457,7847
1140,7429,7815
1162,7375,7847
1112,7379,7893
1107,7388,7889
1195,7328,7861
1156,7347,7881
1136,7344,7904
1128,7353,7903
1126,7372,7886
1164,7345,7875
1055,7394,7935
1104,7351,7929
1088,7360,7936
1130,7355,7899
1076,7336,7972
1080,7375,7929
1034,7399,7951
1108,7381,7895
1156,7346,7882
1069,7349,7966
1085,7299,8000
1099,7287,7998
1039,7274,8071
1078,7237,8069
1026,7209,8149
1111,7208,8065
986,7225,8173
1094,7133,8157
1095,7093,8196
1116,7177,8091
1013,7146,8225
973,7156,8255
1040,7117,8227
1020,7113,8251
994,7136,8254
1058,7089,8237
1042,7136,8206
1054,7112,8218
1068,7117,8199
1016,7138,8230
1083,7089,8212
1067,7065,8252
1041,7054,8289
1037,7118,8229
1025,7110,8249
1011,7042,8331
1011,7075,8298
1044,7053,8287
1046,7003,8335
997,7029,8358
961,7048,8375
1026,7002,8356
1020,6967,8397
1028,6950,8406
984,6967,8433
1050,6950,8384
987,6978,8419
1023,6969,8392
959,6974,8451
1137,6841,8406
1045,6928,8411
1058,6877,8449
960,6943,8481
958,6916,8510
1034,6875,8475
1032,6854,8498
950,6847,8587
986,6810,8588
1022,6792,8570
1053,6780,8551
1012,6786,8586
965,6810,8609
971,6857,8556
946,6848,8590
986,6840,8558
975,6865,8544
968,6876,8540
1018,6829,8537
1003,6825,8556
1047,6783,8554
991,6771,8622
962,6807,8615
974,6779,8631
939,6819,8626
939,6852,8593
985,6802,8597
997,6816,8571
972,6800,8612
938,6818,8628
1048,6727,8609
982,6778,8624
965,6792,8627
1031,6777,8576
987,6772,8625
979,6765,8640
936,6806,8642
965,6789,8630
968,6752,8664
925,6798,8661
1056,6708,8620
900,6760,8724
1033,6716,8635
966,6777,8641
958,6752,8674
988,6738,8658
971,6745,8668
956,6742,8686
990,6671,8723
976,6702,8706
1080,6587,8717
1012,6662,8710
1053,6647,8684
1014,6646,8724
987,6653,8744
954,6667,8763
1022,6648,8714
962,6657,8765
975,6629,8780
985,6591,8808
984,6563,8837
1021,6583,8780
977,6574,8833
983,6575,8826
1003,6518,8863
979,6532,8873
1050,6508,8826
1001,6551,8832
973,6559,8852
1009,6566,8809
1018,6558,8808
985,6521,8878
1014,6507,8863
960,6505,8919
1004,6473,8907
950,6477,8957
961,6464,8959
1028,6455,8901
988,6451,8945
1004,6463,8917
954,6425,9005
978,6383,9023
997,6413,8974
936,6450,8998
898,6439,9047
990,6447,8947
1005,6414,8965
915,6410,9059
1013,6402,8969
1003,6350,9031
965,6459,8960
976,6439,8969
987,6382,9015
1017,6329,9038
945,6341,9098
968,6376,9040
906,6387,9091
997,6305,9082
958,6323,9103
952,6309,9123
930,6316,9138
974,6313,9097
987,6269,9128
954,6293,9137
880,6285,9219
1007,6233,9144
908,6276,9200
969,6257,9158
997,6245,9142
908,6273,9203
978,6225,9181
899,6230,9255
951,6167,9266
1005,6168,9211
985,6161,9238
892,6186,9306
898,6201,9285
920,6150,9314
937,6161,9286
970,6123,9291
991,6071,9322
1008,6084,9292
912,6081,9391
963,6026,9395
996,5987,9401
920,6049,9415
950,5986,9448
908,5974,9502
959,5965,9460
953,5965,9466
944,5994,9446
980,5976,9428
986,5950,9448
1005,5968,9411
959,5990,9435
943,5971,9470
1039,5867,9478
951,5916,9517
989,5910,9485
