Achiral,Chiral A,Chiral B
3703,181,212
3465,306,325
3220,409,467
3015,488,593
2761,602,733
2503,690,903
2209,812,1075
1968,896,1232
1765,958,1373
1506,1043,1547
1278,1121,1697
1058,1187,1851
927,1255,1914
767,1294,2035
684,1327,2085
555,1348,2193
513,1366,2217
487,1362,2247
430,1370,2296
472,1356,2268
525,1321,2250
464,1340,2292
469,1308,2319
497,1310,2289
503,1281,2312
485,1303,2308
414,1346,2336
496,1310,2290
437,1329,2330
473,1263,2360
454,1277,2365
420,1313,2363
448,1291,2357
437,1299,2360
430,1275,2391
414,1238,2444
411,1247,2438
495,1187,2414
428,1214,2454
471,1197,2428
408,1182,2506
496,1161,2439
396,1159,2541
416,1140,2540
461,1126,2509
446,1102,2548
410,1116,2570
441,1093,2562
414,1091,2591
407,1077,2612
402,1088,2606
402,1058,2636
448,1020,2628
394,1013,2689
379,1001,2716
431,947,2718
354,968,2774
461,926,2709
387,952,2757
419,921,2756
429,907,2760
372,939,2785
409,944,2743
424,913,2759
402,914,2780
396,907,2793
341,918,2837
389,864,2843
382,852,2862
388,848,2860
377,831,2888
375,815,2906
431,789,2876
399,794,2903
359,777,2960
409,762,2925
382,747,2967
375,749,2972
391,749,2956
393,755,2948
315,764,3017
402,734,2960
352,735,3009
396,720,2980
385,728,2983
408,706,2982
336,714,3046
329,692,3075
347,688,3061
335,717,3044
373,722,3001
367,726,3003
398,697,3001
376,721,2999
356,717,3023
411,673,3012
402,691,3003
410,683,3003
414,692,2990
367,694,3035
368,677,3051
