Achiral,Chiral A,Chiral B
3703,181,212
3537,252,307
3353,333,410
3167,415,514
2977,504,615
2718,641,737
2475,751,870
2247,884,965
1979,976,1141
1718,1106,1272
1476,1201,1419
1287,1302,1507
1054,1399,1643
799,1549,1748
674,1611,1811
599,1631,1866
524,1670,1902
454,1699,1943
448,1701,1947
390,1710,1996
378,1685,2033
377,1654,2065
365,1648,2083
383,1650,2063
364,1679,2053
397,1663,2036
365,1642,2089
320,1656,2120
327,1637,2132
371,1606,2119
343,1593,2160
326,1636,2134
333,1623,2140
365,1599,2132
362,1603,2131
341,1604,2151
339,1583,2174
317,1597,2182
295,1593,2208
342,1577,2177
345,1578,2173
352,1576,2168
322,1601,2173
340,1603,2153
321,1614,2161
352,1588,2156
301,1587,2208
276,1627,2193
307,1588,2201
333,1587,2176
315,1590,2191
310,1593,2193
287,1619,2190
335,1587,2174
358,1591,2147
340,1572,2184
294,1584,2218
300,1567,2229
312,1549,2235
305,1549,2242
334,1537,2225
355,1548,2193
327,1573,2196
329,1546,2221
348,1556,2192
305,1568,2223
311,1556,2229
323,1549,2224
340,1536,2220
348,1508,2240
314,1500,2282
329,1503,2264
365,1487,2244
346,1507,2243
294,1545,2257
325,1533,2238
310,1525,2261
337,1493,2266
331,1506,2259
321,1520,2255
339,1493,2264
318,1513,2265
348,1507,2241
360,1492,2244
295,1525,2276
305,1510,2281
312,1494,2290
315,1496,2285
288,1499,2309
298,1509,2289
282,1510,2304
309,1489,2298
283,1497,2316
320,1460,2316
275,1480,2341
297,1478,2321
294,1467,2335
310,1454,2332
317,1420,2359
297,1439,2360
299,1426,2371
