Achiral,Chiral A,Chiral B
3703,181,212
3543,269,284
3349,357,390
3201,431,464
2993,508,595
2748,624,724
2524,739,833
2300,841,955
2028,986,1082
1808,1105,1183
1518,1241,1337
1295,1371,1430
1088,1470,1538
879,1543,1674
725,1588,1783
584,1653,1859
547,1696,1853
486,1725,1885
436,1717,1943
426,1723,1947
421,1717,1958
357,1757,1982
330,1786,1980
352,1783,1961
380,1759,1957
401,1742,1953
355,1782,1959
351,1768,1977
333,1780,1983
388,1767,1941
313,1806,1977
337,1822,1937
334,1798,1964
366,1767,1963
349,1761,1986
376,1770,1950
336,1782,1978
334,1764,1998
355,1757,1984
317,1773,2006
312,1806,1978
357,1790,1949
336,1773,1987
353,1799,1944
330,1785,1981
316,1807,1973
319,1784,1993
341,1791,1964
311,1801,1984
321,1813,1962
332,1780,1984
292,1808,1996
321,1821,1954
340,1817,1939
333,1828,1935
297,1870,1929
323,1841,1932
297,1868,1931
326,1845,1925
337,1866,1893
352,1865,1879
311,1887,1898
283,1910,1903
327,1904,1865
270,1918,1908
301,1894,1901
332,1870,1894
301,1899,1896
330,1848,1918
354,1852,1890
332,1864,1900
327,1861,1908
339,1868,1889
266,1905,1925
345,1885,1866
337,1864,1895
303,1903,1890
295,1896,1905
326,1888,1882
284,1923,1889
298,1900,1898
304,1876,1916
293,1903,1900
325,1887,1884
294,1906,1896
288,1903,1905
291,1922,1883
326,1905,1865
351,1878,1867
318,1890,1888
327,1907,1862
279,1954,1863
304,1938,1854
317,1930,1849
281,1949,1866
280,1966,1850
335,1939,1822
323,1937,1836
312,1961,1823
282,1974,1840
284,1976,1836
