Achiral,Chiral A,Chiral B
3703,181,212
3563,245,288
3443,316,337
3289,389,418
3155,454,487
2974,538,584
2808,631,657
2636,729,731
2470,813,813
2258,937,901
2044,1038,1014
1811,1206,1079
1580,1321,1195
1363,1439,1294
1169,1544,1383
1024,1598,1474
813,1708,1575
710,1778,1608
624,1817,1655
536,1866,1694
457,1940,1699
416,1975,1705
370,1988,1738
353,1998,1745
343,1979,1774
302,2031,1763
292,2041,1763
264,2055,1777
267,2042,1787
265,2066,1765
253,2067,1776
215,2090,1791
232,2088,1776
255,2091,1750
247,2087,1762
245,2094,1757
232,2108,1756
230,2124,1742
272,2144,1680
269,2116,1711
273,2119,1704
240,2149,1707
257,2155,1684
251,2176,1669
218,2173,1705
253,2158,1685
247,2187,1662
266,2162,1668
239,2165,1692
210,2182,1704
211,2181,1704
245,2185,1666
232,2207,1657
219,2199,1678
216,2209,1671
231,2222,1643
213,2232,1651
242,2234,1620
213,2255,1628
231,2256,1609
225,2269,1602
243,2285,1568
268,2263,1565
204,2309,1583
249,2287,1560
228,2299,1569
221,2297,1578
240,2292,1564
200,2332,1564
224,2311,1561
238,2312,1546
195,2335,1566
214,2351,1531
202,2364,1530
207,2389,1500
225,2370,1501
231,2386,1479
200,2398,1498
198,2397,1501
189,2399,1508
190,2410,1496
212,2401,1483
225,2397,1474
220,2394,1482
212,2388,1496
214,2372,1510
218,2382,1496
204,2398,1494
192,2388,1516
199,2393,1504
215,2382,1499
222,2390,1484
208,2377,1511
212,2371,1513
195,2383,1518
202,2379,1515
189,2363,1544
238,2325,1533
156,2379,1561
189,2355,1552
236,2331,1529
