Achiral,Chiral A,Chiral B
3703,181,212
3651,206,239
3593,245,258
3503,284,309
3457,303,336
3382,334,380
3270,394,432
3165,441,490
3047,483,566
2946,528,622
2862,570,664
2722,612,762
2593,684,819
2470,752,874
2329,826,941
2189,886,1021
2032,953,1111
1894,1017,1185
1726,1072,1298
1577,1150,1369
1435,1207,1454
1284,1295,1517
1146,1341,1609
1044,1398,1654
889,1478,1729
739,1550,1807
681,1564,1851
584,1607,1905
529,1627,1940
445,1657,1994
384,1698,2014
345,1721,2030
307,1728,2061
273,1746,2077
229,1760,2107
204,1786,2106
201,1792,2103
159,1822,2115
165,1812,2119
150,1816,2130
143,1814,2139
128,1836,2132
153,1819,2124
135,1834,2127
134,1846,2116
148,1821,2127
109,1836,2151
139,1824,2133
103,1823,2170
141,1802,2153
126,1814,2156
158,1790,2148
117,1809,2170
125,1819,2152
143,1808,2145
134,1811,2151
119,1821,2156
115,1816,2165
121,1812,2163
112,1807,2177
123,1806,2167
130,1816,2150
104,1828,2164
107,1833,2156
103,1831,2162
116,1829,2151
126,1832,2138
143,1811,2142
129,1839,2128
111,1836,2149
117,1819,2160
118,1824,2154
133,1828,2135
112,1831,2153
126,1833,2137
111,1847,2138
104,1859,2133
102,1861,2133
154,1833,2109
117,1861,2118
115,1855,2126
107,1861,2128
138,1832,2126
108,1858,2130
120,1862,2114
104,1877,2115
116,1859,2121
105,1869,2122
93,1864,2139
94,1868,2134
122,1849,2125
118,1849,2129
123,1849,2124
99,1867,2130
94,1857,2145
94,1864,2138
97,1867,2132
111,1847,2138
117,1859,2120
104,1869,2123
114,1836,2146
