Achiral,Chiral A,Chiral B
3703,181,212
3667,200,229
3607,223,266
3557,245,294
3504,264,328
3442,289,365
3375,329,392
3301,365,430
3241,402,453
3188,439,469
3114,471,511
3013,517,566
2914,557,625
2838,590,668
2745,626,725
2643,677,776
2537,727,832
2458,764,874
2318,824,954
2209,859,1028
2080,900,1116
1971,943,1182
1830,1003,1263
1692,1047,1357
1507,1129,1460
1404,1154,1538
1241,1218,1637
1123,1246,1727
994,1272,1830
866,1300,1930
781,1333,1982
673,1364,2059
602,1371,2123
498,1403,2195
414,1427,2255
340,1451,2305
283,1443,2370
236,1451,2409
213,1465,2418
170,1476,2450
152,1470,2474
144,1473,2479
139,1458,2499
136,1463,2497
117,1468,2511
125,1471,2500
129,1466,2501
113,1474,2509
113,1461,2522
120,1467,2509
131,1451,2514
123,1435,2538
109,1444,2543
89,1456,2551
128,1441,2527
102,1443,2551
88,1444,2564
100,1421,2575
102,1407,2587
103,1408,2585
107,1386,2603
93,1399,2604
91,1385,2620
93,1395,2608
95,1383,2618
102,1375,2619
89,1379,2628
99,1367,2630
109,1357,2630
81,1358,2657
120,1334,2642
88,1348,2660
86,1346,2664
83,1343,2670
104,1333,2659
96,1331,2669
99,1324,2673
94,1318,2684
91,1309,2696
85,1306,2705
82,1320,2694
100,1312,2684
95,1320,2681
97,1307,2692
92,1313,2691
106,1302,2688
88,1310,2698
98,1302,2696
84,1288,2724
92,1291,2713
81,1292,2723
89,1286,2721
83,1281,2732
89,1282,2725
96,1280,2720
116,1278,2702
80,1287,2729
72,1284,2740
81,1279,2736
78,1284,2734
91,1280,2725
