Achiral,Chiral A,Chiral B
14776,813,795
14603,901,880
14401,1005,978
14229,1076,1079
14073,1151,1160
13906,1229,1249
13700,1344,1340
13452,1466,1466
13227,1579,1578
12942,1747,1695
12670,1907,1807
12338,2048,1998
11981,2220,2183
11631,2383,2370
11254,2592,2538
10891,2774,2719
10502,2992,2890
10101,3205,3078
9685,3406,3293
9218,3659,3507
8780,3903,3701
8316,4136,3932
7834,4399,4151
7375,4635,4374
6890,4885,4609
6422,5116,4846
5913,5336,5135
5446,5604,5334
4962,5853,5569
4492,6120,5772
4090,6286,6008
3694,6480,6210
3288,6646,6450
2975,6806,6603
2651,6995,6738
2354,7128,6902
2145,7230,7009
1931,7343,7110
1708,7397,7279
1509,7507,7368
1337,7603,7444
1167,7708,7509
1028,7787,7569
988,7835,7561
864,7875,7645
815,7914,7655
722,7943,7719
657,7974,7753
583,7991,7810
529,8046,7809
492,8070,7822
480,8079,7825
482,8089,7813
433,8129,7822
442,8134,7808
379,8140,7865
397,8142,7845
379,8164,7841
398,8147,7839
374,8171,7839
404,8161,7819
350,8202,7832
389,8177,7818
354,8213,7817
354,8207,7823
370,8220,7794
379,8226,7779
355,8229,7800
370,8230,7784
352,8245,7787
321,8261,7802
371,8248,7765
369,8229,7786
305,8287,7792
348,8264,7772
351,8270,7763
343,8276,7765
336,8283,7765
370,8275,7739
344,8298,7742
345,8317,7722
285,8375,7724
300,8384,7700
381,8350,7653
321,8355,7708
299,8388,7697
306,8387,7691
323,8401,7660
309,8416,7659
271,8402,7711
348,8377,7659
345,8385,7654
321,8418,7645
334,8443,7607
294,8454,7636
320,8430,7634
280,8430,7674
289,8443,7652
303,8455,7626
330,8453,7601
271,8477,7636
303,8464,7617
341,8451,7592
296,8482,7606
316,8454,7614
326,8477,7581
308,8489,7587
324,8480,7580
260,8490,7634
301,8492,7591
306,8505,7573
294,8514,7576
326,8495,7563
263,8538,7583
292,8528,7564
306,8522,7556
325,8521,7538
297,8552,7535
292,8562,7530
301,8543,7540
309,8523,7552
303,8548,7533
333,8535,7516
301,8564,7519
314,8562,7508
284,8580,7520
280,8559,7545
326,8570,7488
280,8596,7508
303,8569,7512
287,8588,7509
262,8614,7508
288,8604,7492
299,8597,7488
304,8620,7460
294,8616,7474
274,8670,7440
289,8678,7417
308,8671,7405
258,8701,7425
270,8705,7409
264,8693,7427
321,8667,7396
324,8688,7372
323,8674,7387
275,8712,7397
301,8721,7362
294,8716,7374
264,8731,7389
306,8732,7346
270,8740,7374
291,8739,7354
296,8745,7343
265,8751,7368
309,8720,7355
271,8747,7366
302,8713,7369
296,8707,7381
251,8745,7388
291,8715,7378
318,8721,7345
263,8746,7375
263,8739,7382
268,8722,7394
274,8719,7391
313,8684,7387
258,8731,7395
256,8711,7417
298,8705,7381
274,8725,7385
300,8701,7383
258,8721,7405
290,8743,7351
281,8712,7391
286,8705,7393
296,8705,7383
308,8701,7375
312,8690,7382
264,8722,7398
286,8715,7383
282,8712,7390
264,8729,7391
301,8727,7356
291,8753,7340
265,8752,7367
292,8747,7345
308,8719,7357
289,8733,7362
283,8735,7366
288,8730,7366
242,8744,7398
272,8712,7400
291,8697,7396
297,8684,7403
277,8706,7401
302,8706,7376
273,8702,7409
286,8716,7382
261,8719,7404
272,8740,7372
276,8733,7375
278,8740,7366
270,8741,7373
285,8727,7372
285,8756,7343
275,8756,7353
283,8754,7347
269,8746,7369
262,8768,7354
274,8761,7349
250,8792,7342
262,8780,7342
276,8790,7318
264,8792,7328
254,8781,7349
281,8768,7335
258,8755,7371
305,8759,7320
266,8784,7334
253,8782,7349
288,8764,7332
267,8771,7346
296,8772,7316
297,8774,7313
265,8794,7325
246,8797,7341
276,8797,7311
264,8787,7333
295,8780,7309
301,8760,7323
289,8767,7328
275,8786,7323
256,8810,7318
253,8806,7325
251,8812,7321
273,8809,7302
289,8831,7264
301,8821,7262
281,8852,7251
264,8851,7269
247,8872,7265
246,8862,7276
288,8872,7224
259,8863,7262
236,8881,7267
268,8846,7270
298,8833,7253
282,8847,7255
242,8851,7291
245,8860,7279
259,8852,7273
