Achiral,Chiral A,Chiral B
14776,813,795
13478,1499,1407
12465,2039,1880
11434,2495,2455
10314,3053,3017
9103,3662,3619
7994,4242,4148
6812,4867,4705
5760,5377,5247
4749,5822,5813
4009,6165,6210
3336,6515,6533
2890,6727,6767
2688,6899,6797
2442,7008,6934
2237,7106,7041
2290,7139,6955
2130,7163,7091
2174,7161,7049
2134,7277,6973
2056,7354,6974
2036,7434,6914
1957,7420,7007
1989,7452,6943
1982,7547,6855
2050,7513,6821
1967,7574,6843
1896,7650,6838
1950,7631,6803
1922,7704,6758
1958,7690,6736
1944,7665,6775
1848,7746,6790
1851,7675,6858
1954,7681,6749
1884,7712,6788
1869,7704,6811
1809,7770,6805
1814,7796,6774
1784,7752,6848
1831,7724,6829
1809,7812,6763
1825,7795,6764
1844,7823,6717
1841,7834,6709
1790,7874,6720
1850,7833,6701
1784,7853,6747
1778,7831,6775
1734,7923,6727
1728,7924,6732
1810,7874,6700
1724,7920,6740
1748,7936,6700
1771,7996,6617
1773,8011,6600
1747,8015,6622
1828,7919,6637
1757,7963,6664
1818,7947,6619
1687,8011,6686
1720,8025,6639
1729,7968,6687
1772,7920,6692
1749,7902,6733
1741,7938,6705
1766,7911,6707
1719,7906,6759
1766,7878,6740
1708,7888,6788
1811,7853,6720
1730,7891,6763
1771,7830,6783
1770,7880,6734
1711,7947,6726
1676,7936,6772
1722,7857,6805
1717,7931,6736
1632,7940,6812
1627,7937,6820
1718,7880,6786
1695,7952,6737
1793,7863,6728
1774,7873,6737
1736,7884,6764
1764,7853,6767
1707,7851,6826
1769,7848,6767
1747,7886,6751
1747,7892,6745
1703,7919,6762
1686,7889,6809
1739,7834,6811
1736,7790,6858
1726,7771,6887
1701,7803,6880
1656,7854,6874
1654,7904,6826
1722,7855,6807
1724,7907,6753
1649,7902,6833
1705,7853,6826
1750,7820,6814
1648,7836,6900
1714,7799,6871
1671,7793,6920
1667,7758,6959
1743,7703,6938
1612,7837,6935
1693,7757,6934
1656,7781,6947
1753,7743,6888
1656,7772,6956
1695,7710,6979
1621,7787,6976
1706,7773,6905
1625,7727,7032
1676,7662,7046
1735,7669,6980
1721,7668,6995
1769,7617,6998
1720,7644,7020
1669,7658,7057
1750,7629,7005
1729,7654,7001
1622,7724,7038
1763,7645,6976
1614,7704,7066
1642,7641,7101
1765,7591,7028
1669,7652,7063
1655,7625,7104
1584,7716,7084
1588,7675,7121
1638,7662,7084
1757,7609,7018
1659,7680,7045
1721,7605,7058
1730,7605,7049
1712,7615,7057
1707,7632,7045
1631,7641,7112
1684,7594,7106
1628,7675,7081
1684,7634,7066
1723,7641,7020
1681,7608,7095
1652,7638,7094
1741,7618,7025
1769,7563,7052
1615,7617,7152
1745,7540,7099
1729,7517,7138
1675,7545,7164
1617,7590,7177
1628,7539,7217
1711,7519,7154
1607,7531,7246
1666,7524,7194
1639,7500,7245
1632,7464,7288
1714,7421,7249
1769,7376,7239
1673,7439,7272
1747,7485,7152
1658,7495,7231
1650,7511,7223
1631,7562,7191
1681,7487,7216
1700,7445,7239
1694,7453,7237
1720,7450,7214
1641,7467,7276
1698,7449,7237
1681,7419,7284
1686,7468,7230
1593,7527,7264
1562,7516,7306
1605,7435,7344
1690,7415,7279
1618,7470,7296
1614,7449,7321
1651,7412,7321
1640,7459,7285
1521,7517,7346
1657,7453,7274
1600,7454,7330
1562,7471,7351
1698,7421,7265
1684,7430,7270
1573,7540,7271
1627,7514,7243
1611,7489,7284
1640,7543,7201
1679,7468,7237
1652,7471,7261
1666,7498,7220
1688,7458,7238
1759,7439,7186
1634,7497,7253
1674,7467,7243
1669,7534,7181
1651,7517,7216
1643,7557,7184
1571,7580,7233
1667,7518,7199
1668,7515,7201
1641,7518,7225
1638,7566,7180
1606,7557,7221
1612,7497,7275
1546,7601,7237
1671,7474,7239
1621,7475,7288
1647,7455,7282
1568,7517,7299
1648,7450,7286
1584,7494,7306
1673,7472,7239
1643,7513,7228
1659,7446,7279
1580,7497,7307
1596,7420,7368
1614,7440,7330
1614,7439,7331
1529,7524,7331
1692,7423,7269
1620,7364,7400
1551,7413,7420
1615,7425,7344
1500,7517,7367
1573,7385,7426
1558,7408,7418
1601,7376,7407
1615,7349,7420
1606,7359,7419
1689,7357,7338
1569,7371,7444
1648,7290,7446
1664,7350,7370
1628,7332,7424
1611,7382,7391
1652,7290,7442
1643,7269,7472
1635,7296,7453
1567,7392,7425
1695,7322,7367
1606,7373,7405
1627,7363,7394
1574,7410,7400
1659,7405,7320
