Achiral,Chiral A,Chiral B
3703,181,212
3658,211,227
3595,253,248
3560,288,248
3503,317,276
3440,342,314
3387,375,334
3311,419,366
3262,453,381
3185,506,405
3113,551,432
3033,580,483
2961,617,518
2891,646,559
2804,676,616
2671,753,672
2576,810,710
2478,856,762
2368,906,822
2282,969,845
2209,996,891
2095,1041,960
1947,1108,1041
1803,1180,1113
1671,1246,1179
1558,1345,1193
1423,1398,1275
1303,1473,1320
1185,1544,1367
1074,1592,1430
953,1654,1489
870,1700,1526
782,1743,1571
667,1804,1625
621,1827,1648
535,1877,1684
484,1921,1691
432,1948,1716
367,1987,1742
309,2010,1777
285,2031,1780
273,2041,1782
236,2070,1790
226,2074,1796
184,2096,1816
182,2116,1798
132,2150,1814
115,2153,1828
110,2159,1827
112,2181,1803
136,2179,1781
111,2188,1797
97,2209,1790
110,2207,1779
93,2203,1800
99,2196,1801
85,2195,1816
99,2183,1814
98,2178,1820
89,2191,1816
85,2185,1826
91,2168,1837
79,2171,1846
75,2166,1855
96,2155,1845
86,2156,1854
85,2160,1851
96,2157,1843
96,2144,1856
101,2143,1852
103,2132,1861
75,2146,1875
91,2129,1876
88,2134,1874
98,2125,1873
83,2133,1880
97,2123,1876
77,2129,1890
90,2125,1881
94,2131,1871
81,2139,1876
79,2143,1874
76,2147,1873
84,2140,1872
74,2133,1889
96,2128,1872
95,2121,1880
89,2109,1898
90,2103,1903
75,2122,1899
97,2107,1892
83,2112,1901
82,2125,1889
100,2102,1894
73,2125,1898
71,2127,1898
95,2108,1893
81,2123,1892
78,2115,1903
79,2130,1887
76,2128,1892
