Achiral,Chiral A,Chiral B
3703,181,212
3683,194,219
3636,221,239
3598,233,265
3564,257,275
3513,269,314
3473,293,330
3424,327,345
3384,348,364
3328,373,395
3313,379,404
3266,386,444
3204,394,498
3148,418,530
3100,431,565
3041,462,593
2992,499,605
2916,523,657
2852,557,687
2773,599,724
2714,621,761
2615,664,817
2562,691,843
2443,748,905
2325,795,976
2217,846,1033
2133,892,1071
2015,947,1134
1901,990,1205
1800,1048,1248
1707,1104,1285
1611,1153,1332
1517,1215,1364
1429,1264,1403
1332,1309,1455
1262,1355,1479
1177,1391,1528
1106,1420,1570
1008,1484,1604
936,1520,1640
878,1553,1665
802,1605,1689
738,1647,1711
662,1692,1742
613,1730,1753
573,1748,1775
516,1801,1779
477,1826,1793
429,1863,1804
402,1891,1803
357,1908,1831
329,1947,1820
284,1968,1844
254,1989,1853
248,2007,1841
228,2005,1863
234,1993,1869
207,2019,1870
196,2026,1874
140,2039,1917
143,2036,1917
130,2046,1920
127,2047,1922
130,2053,1913
105,2068,1923
89,2082,1925
84,2087,1925
105,2068,1923
83,2090,1923
77,2109,1910
73,2111,1912
73,2105,1918
78,2116,1902
70,2118,1908
58,2132,1906
86,2118,1892
67,2139,1890
79,2132,1885
72,2135,1889
71,2135,1890
68,2146,1882
68,2149,1879
76,2140,1880
81,2132,1883
84,2145,1867
80,2147,1869
66,2160,1870
84,2156,1856
70,2176,1850
70,2163,1863
58,2173,1865
87,2169,1840
68,2172,1856
90,2162,1844
76,2175,1845
71,2180,1845
69,2186,1841
74,2187,1835
65,2192,1839
78,2185,1833
76,2184,1836
