Achiral,Chiral A,Chiral B
3703,181,212
3549,252,295
3402,329,365
3227,414,455
3111,499,486
2879,601,616
2680,694,722
2477,789,830
2238,901,957
1982,990,1124
1739,1092,1265
1456,1240,1400
1267,1302,1527
1048,1384,1664
828,1488,1780
680,1568,1848
570,1569,1957
491,1619,1986
444,1624,2028
390,1634,2072
377,1641,2078
334,1647,2115
362,1623,2111
321,1627,2148
271,1647,2178
253,1664,2179
316,1625,2155
319,1623,2154
257,1640,2199
229,1643,2224
254,1637,2205
277,1587,2232
299,1577,2220
279,1571,2246
283,1581,2232
265,1581,2250
288,1573,2235
286,1549,2261
264,1552,2280
301,1543,2252
273,1545,2278
270,1534,2292
312,1511,2273
298,1516,2282
220,1567,2309
302,1489,2305
256,1524,2316
252,1533,2311
224,1546,2326
301,1503,2292
217,1525,2354
240,1502,2354
288,1483,2325
230,1506,2360
253,1492,2351
250,1474,2372
278,1468,2350
226,1494,2376
255,1464,2377
252,1449,2395
213,1448,2435
247,1446,2403
240,1447,2409
260,1430,2406
243,1440,2413
224,1423,2449
256,1412,2428
267,1407,2422
296,1388,2412
244,1403,2449
236,1418,2442
241,1407,2448
249,1390,2457
222,1398,2476
239,1394,2463
245,1400,2451
265,1401,2430
178,1427,2491
220,1412,2464
248,1379,2469
260,1370,2466
241,1378,2477
220,1373,2503
219,1358,2519
248,1381,2467
221,1389,2486
249,1383,2464
247,1376,2473
242,1361,2493
245,1349,2502
216,1355,2525
249,1347,2500
222,1338,2536
228,1336,2532
238,1337,2521
223,1341,2532
226,1335,2535
231,1329,2536
223,1324,2549
210,1332,2554
259,1305,2532
