Achiral,Chiral A,Chiral B
3703,181,212
3385,344,367
3133,457,506
2839,594,663
2538,706,852
2273,828,995
1975,949,1172
1692,1044,1360
1401,1164,1531
1207,1217,1672
1033,1246,1817
890,1251,1955
783,1290,2023
656,1330,2110
628,1375,2093
574,1343,2179
572,1323,2201
579,1312,2205
574,1297,2225
566,1275,2255
515,1249,2332
551,1232,2313
493,1198,2405
498,1175,2423
516,1149,2431
511,1129,2456
463,1112,2521
425,1133,2538
430,1130,2536
449,1117,2530
468,1131,2497
528,1092,2476
469,1140,2487
489,1106,2501
479,1096,2521
487,1075,2534
451,1067,2578
475,1037,2584
524,1006,2566
479,1009,2608
464,1010,2622
450,995,2651
451,987,2658
474,934,2688
444,970,2682
476,966,2654
531,947,2618
537,934,2625
506,923,2667
461,913,2722
450,898,2748
474,888,2734
420,861,2815
413,884,2799
408,879,2809
463,915,2718
469,875,2752
463,858,2775
432,830,2834
420,830,2846
393,815,2888
456,788,2852
439,808,2849
471,809,2816
460,800,2836
458,783,2855
464,782,2850
437,768,2891
434,753,2909
401,760,2935
412,751,2933
438,697,2961
431,687,2978
437,686,2973
424,674,2998
394,674,3028
358,662,3076
448,634,3014
390,653,3053
380,663,3053
443,665,2988
403,658,3035
427,622,3047
419,657,3020
414,629,3053
361,650,3085
411,636,3049
398,610,3088
388,630,3078
404,621,3071
441,596,3059
412,599,3085
369,629,3098
430,628,3038
416,608,3072
413,605,3078
432,601,3063
377,621,3098
420,608,3068
427,614,3055
399,606,3091
