Achiral,Chiral A,Chiral B
3703,181,212
3380,356,360
3126,491,479
2849,609,638
2522,726,848
2224,868,1004
1865,1038,1193
1597,1167,1332
1394,1317,1385
1176,1423,1497
931,1550,1615
838,1579,1679
763,1618,1715
708,1636,1752
668,1664,1764
576,1673,1847
622,1632,1842
567,1670,1859
601,1619,1876
533,1649,1914
542,1638,1916
596,1575,1925
593,1609,1894
550,1631,1915
545,1631,1920
555,1652,1889
500,1681,1915
543,1693,1860
559,1672,1865
513,1710,1873
538,1684,1874
489,1690,1917
583,1648,1865
476,1734,1886
517,1700,1879
538,1678,1880
516,1698,1882
500,1708,1888
519,1713,1864
485,1749,1862
528,1713,1855
485,1729,1882
422,1742,1932
481,1706,1909
488,1693,1915
479,1685,1932
478,1700,1918
457,1702,1937
527,1668,1901
472,1659,1965
482,1671,1943
505,1643,1948
528,1663,1905
453,1679,1964
423,1705,1968
497,1668,1931
461,1687,1948
512,1661,1923
530,1646,1920
518,1619,1959
493,1653,1950
457,1687,1952
466,1687,1943
463,1699,1934
396,1706,1994
460,1691,1945
454,1672,1970
398,1711,1987
427,1678,1991
482,1680,1934
398,1693,2005
445,1695,1956
443,1687,1966
448,1721,1927
471,1667,1958
424,1681,1991
425,1694,1977
452,1679,1965
497,1653,1946
478,1645,1973
496,1638,1962
472,1625,1999
463,1607,2026
454,1623,2019
450,1617,2029
416,1600,2080
494,1561,2041
454,1596,2046
461,1614,2021
462,1588,2046
463,1607,2026
465,1607,2024
440,1635,2021
440,1626,2030
491,1572,2033
431,1618,2047
426,1619,2051
467,1605,2024
472,1583,2041
429,1609,2058
433,1599,2064
