Achiral,Chiral A,Chiral B
3703,181,212
3674,197,225
3636,213,247
3597,233,266
3573,239,284
3521,269,306
3476,290,330
3410,316,370
3369,336,391
3320,359,417
3272,373,451
3218,393,485
3154,424,518
3096,451,549
3001,487,608
2949,503,644
2906,526,664
2812,570,714
2736,602,758
2659,638,799
2586,679,831
2480,718,898
2386,761,949
2258,827,1011
2174,860,1062
2095,873,1128
2001,906,1189
1891,948,1257
1751,1010,1335
1662,1038,1396
1548,1084,1464
1447,1130,1519
1337,1176,1583
1250,1203,1643
1162,1240,1694
1019,1320,1757
956,1351,1789
867,1386,1843
792,1415,1889
707,1463,1926
622,1505,1969
529,1530,2037
482,1557,2057
425,1579,2092
367,1616,2113
311,1646,2139
262,1670,2164
242,1672,2182
208,1696,2192
203,1683,2210
161,1686,2249
149,1684,2263
158,1670,2268
125,1686,2285
111,1690,2295
101,1695,2300
88,1698,2310
81,1690,2325
107,1684,2305
76,1699,2321
81,1699,2316
76,1701,2319
72,1721,2303
68,1729,2299
72,1726,2298
73,1730,2293
84,1731,2281
88,1728,2280
84,1734,2278
56,1739,2301
74,1728,2294
68,1730,2298
63,1725,2308
60,1718,2318
76,1713,2307
91,1706,2299
64,1726,2306
67,1721,2308
70,1724,2302
66,1732,2298
72,1728,2296
79,1724,2293
59,1719,2318
56,1740,2300
71,1723,2302
60,1728,2308
79,1728,2289
74,1739,2283
79,1740,2277
69,1751,2276
61,1769,2266
68,1755,2273
78,1753,2265
69,1751,2276
78,1755,2263
82,1749,2265
80,1756,2260
83,1752,2261
49,1771,2276
71,1764,2261
53,1775,2268
