Achiral,Chiral A,Chiral B
3703,181,212
3620,218,258
3483,282,331
3392,324,380
3321,364,411
3181,429,486
3071,486,539
2953,539,604
2803,621,672
2658,698,740
2489,774,833
2298,844,954
2114,912,1070
1950,975,1171
1787,1042,1267
1629,1114,1353
1435,1189,1472
1244,1288,1564
1059,1352,1685
917,1417,1762
775,1475,1846
673,1538,1885
551,1578,1967
486,1620,1990
424,1653,2019
351,1692,2053
291,1691,2114
277,1685,2134
274,1683,2139
211,1718,2167
234,1698,2164
212,1689,2195
178,1705,2213
183,1693,2220
195,1681,2220
199,1684,2213
187,1675,2234
160,1675,2261
187,1661,2248
200,1660,2236
167,1648,2281
167,1649,2280
170,1623,2303
167,1635,2294
156,1628,2312
150,1633,2313
142,1635,2319
155,1613,2328
180,1594,2322
156,1603,2337
149,1619,2328
132,1617,2347
148,1611,2337
153,1604,2339
172,1614,2310
173,1597,2326
155,1616,2325
154,1628,2314
119,1635,2342
142,1628,2326
159,1607,2330
165,1592,2339
156,1591,2349
123,1605,2368
181,1585,2330
128,1590,2378
185,1587,2324
168,1581,2347
171,1578,2347
148,1566,2382
146,1565,2385
165,1554,2377
146,1566,2384
169,1543,2384
169,1533,2394
141,1558,2397
173,1525,2398
156,1539,2401
155,1543,2398
138,1545,2413
148,1548,2400
166,1537,2393
136,1545,2415
173,1535,2388
167,1528,2401
149,1525,2422
134,1544,2418
146,1525,2425
141,1522,2433
141,1504,2451
164,1497,2435
150,1504,2442
128,1496,2472
138,1501,2457
141,1495,2460
137,1483,2476
160,1474,2462
138,1472,2486
122,1474,2500
123,1469,2504
146,1466,2484
