Achiral,Chiral A,Chiral B
3703,181,212
3647,211,238
3577,252,267
3520,284,292
3487,303,306
3413,336,347
3340,384,372
3255,421,420
3165,472,459
3062,527,507
2995,564,537
2884,626,586
2751,691,654
2651,741,704
2499,818,779
2365,898,833
2219,985,892
2098,1060,938
1938,1146,1012
1820,1230,1046
1700,1298,1098
1533,1379,1184
1377,1479,1240
1219,1568,1309
1086,1656,1354
937,1735,1424
775,1832,1489
689,1889,1518
567,1959,1570
487,2004,1605
448,2030,1618
351,2073,1672
324,2112,1660
248,2148,1700
242,2144,1710
194,2171,1731
196,2190,1710
169,2207,1720
153,2198,1745
141,2231,1724
140,2243,1713
124,2255,1717
144,2241,1711
134,2248,1714
128,2259,1709
140,2249,1707
113,2263,1720
114,2271,1711
167,2246,1683
150,2251,1695
121,2263,1712
122,2276,1698
145,2265,1686
97,2284,1715
127,2272,1697
108,2290,1698
135,2274,1687
133,2283,1680
112,2296,1688
120,2292,1684
117,2303,1676
123,2293,1680
118,2298,1680
104,2319,1673
110,2324,1662
121,2324,1651
137,2331,1628
134,2334,1628
138,2330,1628
117,2337,1642
123,2340,1633
114,2336,1646
112,2352,1632
94,2349,1653
108,2346,1642
109,2349,1638
93,2355,1648
132,2326,1638
119,2330,1647
114,2339,1643
122,2326,1648
127,2305,1664
107,2323,1666
118,2332,1646
112,2331,1653
119,2339,1638
94,2352,1650
106,2359,1631
91,2369,1636
98,2374,1624
128,2362,1606
111,2366,1619
106,2374,1616
96,2379,1621
87,2379,1630
113,2370,1613
116,2361,1619
99,2374,1623
108,2366,1622
97,2360,1639
100,2364,1632
