Achiral,Chiral A,Chiral B
3703,181,212
3685,186,225
3664,197,235
3651,206,239
3637,211,248
3613,224,259
3597,224,275
3573,239,284
3543,256,297
3509,274,313
3478,285,333
3439,301,356
3399,322,375
3368,336,392
3324,363,409
3292,381,423
3272,390,434
3254,400,442
3240,405,451
3217,414,465
3189,427,480
3164,437,495
3134,460,502
3100,483,513
3058,499,539
3029,504,563
2991,521,584
2949,537,610
2909,558,629
2851,594,651
2805,614,677
2776,624,696
2738,640,718
2702,654,740
2669,676,751
2620,691,785
2570,712,814
2521,728,847
2459,748,889
2406,773,917
2361,789,946
2308,818,970
2252,843,1001
2189,882,1025
2111,924,1061
2070,950,1076
2003,979,1114
1956,1008,1132
1908,1023,1165
1854,1058,1184
1800,1080,1216
1736,1106,1254
1680,1131,1285
1604,1182,1310
1534,1209,1353
1470,1241,1385
1417,1268,1411
1366,1289,1441
1295,1325,1476
1221,1358,1517
1160,1388,1548
1105,1410,1581
1044,1442,1610
962,1485,1649
896,1508,1692
852,1524,1720
793,1545,1758
755,1560,1781
712,1575,1809
674,1588,1834
632,1614,1850
587,1639,1870
554,1662,1880
517,1686,1893
490,1694,1912
457,1713,1926
410,1733,1953
391,1747,1958
371,1749,1976
363,1757,1976
347,1763,1986
317,1784,1995
314,1789,1993
303,1794,1999
282,1800,2014
265,1807,2024
266,1810,2020
257,1814,2025
235,1835,2026
226,1841,2029
207,1851,2038
199,1849,2048
190,1856,2050
179,1863,2054
170,1868,2058
177,1885,2034
173,1888,2035
147,1889,2060
154,1880,2062
154,1880,2062
137,1895,2064
