Achiral,Chiral A,Chiral B
3703,181,212
3665,208,223
3615,244,237
3566,268,262
3521,291,284
3482,309,305
3432,336,328
3356,364,376
3322,385,389
3227,434,435
3166,450,480
3085,477,534
2995,518,583
2917,556,623
2824,593,679
2744,627,725
2659,665,772
2578,694,824
2508,715,873
2385,764,947
2303,791,1002
2175,844,1077
2057,883,1156
1926,930,1240
1829,967,1300
1751,984,1361
1648,1017,1431
1561,1051,1484
1466,1083,1547
1367,1132,1597
1259,1173,1664
1151,1225,1720
1062,1267,1767
940,1321,1835
877,1336,1883
772,1363,1961
678,1409,2009
595,1421,2080
514,1448,2134
438,1462,2196
371,1476,2249
339,1465,2292
323,1448,2325
268,1466,2362
253,1441,2402
235,1440,2421
218,1441,2437
209,1440,2447
185,1431,2480
187,1424,2485
148,1433,2515
158,1429,2509
128,1425,2543
123,1432,2541
97,1437,2562
92,1430,2574
101,1415,2580
76,1433,2587
84,1426,2586
68,1436,2592
94,1414,2588
85,1433,2578
64,1429,2603
75,1424,2597
84,1416,2596
76,1413,2607
84,1402,2610
77,1412,2607
84,1410,2602
88,1390,2618
85,1395,2616
96,1378,2622
87,1370,2639
63,1388,2645
87,1374,2635
78,1367,2651
85,1358,2653
81,1362,2653
104,1348,2644
77,1356,2663
88,1348,2660
77,1336,2683
103,1326,2667
99,1321,2676
94,1302,2700
92,1305,2699
72,1295,2729
87,1273,2736
85,1267,2744
79,1278,2739
71,1270,2755
87,1253,2756
84,1257,2755
84,1257,2755
96,1242,2758
86,1244,2766
85,1237,2774
77,1227,2792
85,1225,2786
81,1228,2787
83,1227,2786
