Achiral,Chiral A,Chiral B
3703,181,212
3515,279,302
3321,351,424
3168,423,505
2952,480,664
2772,539,785
2522,662,912
2272,743,1081
1986,869,1241
1769,933,1394
1563,976,1557
1312,1064,1720
1081,1148,1867
890,1191,2015
725,1231,2140
639,1266,2191
544,1273,2279
497,1267,2332
389,1290,2417
385,1234,2477
395,1234,2467
395,1232,2469
352,1224,2520
389,1191,2516
376,1184,2536
312,1204,2580
384,1151,2561
343,1163,2590
358,1163,2575
362,1148,2586
369,1120,2607
340,1129,2627
302,1111,2683
326,1070,2700
314,1099,2683
317,1096,2683
338,1077,2681
342,1070,2684
283,1090,2723
325,1077,2694
320,1083,2693
353,1060,2683
302,1073,2721
312,1053,2731
337,1031,2728
328,1042,2726
321,1064,2711
323,1067,2706
299,1062,2735
349,1046,2701
342,1015,2739
372,1003,2721
345,992,2759
286,1002,2808
328,959,2809
345,940,2811
283,965,2848
360,922,2814
307,932,2857
312,928,2856
329,913,2854
318,922,2856
340,888,2868
357,877,2862
336,873,2887
308,868,2920
290,877,2929
322,880,2894
295,843,2958
336,819,2941
329,816,2951
285,843,2968
299,844,2953
343,833,2920
293,847,2956
297,786,3013
328,786,2982
316,779,3001
332,747,3017
307,758,3031
305,723,3068
308,760,3028
292,757,3047
296,752,3048
291,734,3071
309,742,3045
341,743,3012
294,741,3061
332,731,3033
302,729,3065
297,727,3072
267,717,3112
268,715,3113
303,716,3077
306,699,3091
275,712,3109
325,688,3083
322,686,3088
266,678,3152
283,683,3130
302,684,3110
