Achiral,Chiral A,Chiral B
3703,181,212
3465,298,333
3273,383,440
3065,489,542
2775,650,671
2517,756,823
2213,911,972
1965,1005,1126
1696,1121,1279
1408,1236,1452
1204,1308,1584
976,1406,1714
866,1473,1757
741,1551,1804
694,1562,1840
626,1604,1866
571,1643,1882
508,1654,1934
494,1656,1946
478,1668,1950
446,1674,1976
435,1685,1976
464,1686,1946
449,1703,1944
448,1728,1920
430,1735,1931
389,1773,1934
407,1759,1930
436,1760,1900
398,1750,1948
428,1732,1936
401,1769,1926
434,1777,1885
436,1773,1887
408,1775,1913
374,1830,1892
416,1807,1873
404,1797,1895
428,1797,1871
387,1795,1914
412,1790,1894
357,1816,1923
381,1830,1885
375,1848,1873
395,1835,1866
390,1809,1897
417,1800,1879
360,1810,1926
384,1831,1881
355,1842,1899
340,1854,1902
381,1829,1886
357,1857,1882
393,1831,1872
403,1837,1856
348,1863,1885
317,1904,1875
362,1878,1856
375,1861,1860
360,1858,1878
362,1870,1864
348,1878,1870
377,1885,1834
369,1899,1828
380,1908,1808
382,1887,1827
376,1892,1828
296,1949,1851
371,1877,1848
356,1886,1854
396,1871,1829
359,1885,1852
318,1922,1856
337,1909,1850
336,1932,1828
351,1924,1821
376,1911,1809
324,1936,1836
363,1903,1830
332,1944,1820
345,1941,1810
366,1932,1798
355,1950,1791
328,1966,1802
357,1931,1808
314,1953,1829
334,1945,1817
365,1907,1824
338,1912,1846
312,1940,1844
351,1959,1786
340,1934,1822
333,1932,1831
336,1923,1837
303,1949,1844
399,1902,1795
282,1967,1847
376,1901,1819
349,1903,1844
324,1942,1830
378,1912,1806
