Achiral,Chiral A,Chiral B
3703,181,212
3469,325,302
3241,437,418
3039,507,550
2769,629,698
2468,767,861
2183,879,1034
1970,989,1137
1705,1075,1316
1483,1189,1424
1223,1287,1586
1030,1343,1723
926,1413,1757
789,1469,1838
657,1539,1900
617,1585,1894
532,1563,2001
480,1588,2028
451,1604,2041
506,1573,2017
445,1615,2036
428,1605,2063
466,1589,2041
447,1610,2039
426,1619,2051
466,1610,2020
438,1603,2055
407,1599,2090
372,1622,2102
372,1629,2095
433,1607,2056
431,1583,2082
418,1587,2091
398,1583,2115
410,1586,2100
394,1595,2107
386,1608,2102
388,1606,2102
378,1575,2143
402,1612,2082
403,1623,2070
378,1608,2110
429,1573,2094
382,1588,2126
371,1572,2153
365,1584,2147
385,1559,2152
422,1534,2140
409,1563,2124
412,1567,2117
366,1568,2162
368,1606,2122
360,1616,2120
415,1595,2086
407,1603,2086
368,1638,2090
339,1648,2109
391,1626,2079
395,1619,2082
337,1635,2124
376,1638,2082
352,1642,2102
359,1644,2093
382,1644,2070
395,1630,2071
342,1629,2125
361,1641,2094
320,1662,2114
368,1633,2095
350,1658,2088
371,1662,2063
355,1652,2089
379,1669,2048
373,1669,2054
339,1709,2048
338,1722,2036
377,1714,2005
376,1700,2020
354,1721,2021
353,1709,2034
345,1709,2042
314,1739,2043
353,1734,2009
374,1732,1990
367,1751,1978
330,1764,2002
371,1761,1964
337,1776,1983
345,1780,1971
334,1815,1947
390,1763,1943
358,1787,1951
339,1808,1949
327,1809,1960
354,1811,1931
420,1772,1904
347,1825,1924
367,1823,1906
328,1829,1939
335,1816,1945
309,1834,1953
