Achiral,Chiral A,Chiral B
3703,181,212
3431,315,350
3202,406,488
2914,548,634
2658,627,811
2355,771,970
2006,933,1157
1739,1049,1308
1524,1155,1417
1250,1273,1573
1066,1322,1708
913,1398,1785
778,1418,1900
711,1413,1972
688,1423,1985
590,1469,2037
508,1492,2096
528,1467,2101
488,1490,2118
462,1489,2145
482,1456,2158
484,1442,2170
425,1475,2196
438,1462,2196
521,1422,2153
428,1441,2227
471,1443,2182
414,1452,2230
453,1412,2231
408,1403,2285
421,1357,2318
536,1325,2235
414,1382,2300
408,1368,2320
386,1362,2348
436,1347,2313
422,1378,2296
483,1357,2256
449,1364,2283
467,1362,2267
471,1353,2272
467,1348,2281
456,1340,2300
448,1375,2273
395,1381,2320
439,1332,2325
456,1316,2324
426,1328,2342
442,1326,2328
403,1344,2349
350,1361,2385
459,1323,2314
444,1337,2315
455,1337,2304
420,1328,2348
437,1319,2340
435,1322,2339
449,1315,2332
459,1299,2338
455,1297,2344
508,1261,2327
421,1300,2375
395,1321,2380
418,1300,2378
378,1356,2362
406,1317,2373
399,1330,2367
410,1347,2339
433,1309,2354
406,1335,2355
464,1289,2343
397,1318,2381
436,1318,2342
406,1312,2378
388,1327,2381
401,1314,2381
422,1290,2384
407,1296,2393
365,1315,2416
386,1316,2394
432,1299,2365
443,1286,2367
412,1326,2358
446,1302,2348
446,1298,2352
394,1331,2371
453,1302,2341
459,1275,2362
410,1308,2378
419,1315,2362
420,1312,2364
450,1305,2341
421,1304,2371
440,1324,2332
436,1303,2357
420,1311,2365
446,1286,2364
468,1312,2316
455,1305,2336
403,1318,2375
423,1318,2355
