Achiral,Chiral A,Chiral B
3703,181,212
3455,303,338
3204,437,455
2982,545,569
2715,640,741
2427,768,901
2148,911,1037
1881,1034,1181
1611,1130,1355
1342,1243,1511
1109,1375,1612
903,1499,1694
772,1541,1783
652,1599,1845
613,1625,1858
532,1620,1944
487,1638,1971
492,1623,1981
407,1675,2014
458,1686,1952
468,1690,1938
408,1704,1984
428,1686,1982
453,1696,1947
486,1695,1915
439,1721,1936
430,1705,1961
411,1692,1993
412,1672,2012
413,1663,2020
396,1672,2028
412,1663,2021
448,1676,1972
432,1671,1993
485,1662,1949
418,1671,2007
444,1693,1959
422,1705,1969
387,1722,1987
402,1695,1999
409,1723,1964
381,1748,1967
428,1720,1948
372,1766,1958
427,1759,1910
369,1789,1938
388,1772,1936
426,1740,1930
343,1790,1963
393,1756,1947
335,1785,1976
372,1759,1965
397,1769,1930
357,1817,1922
346,1821,1929
343,1810,1943
412,1794,1890
410,1813,1873
480,1737,1879
424,1803,1869
420,1800,1876
380,1819,1897
413,1804,1879
404,1828,1864
397,1823,1876
383,1825,1888
387,1818,1891
381,1811,1904
407,1814,1875
390,1833,1873
359,1859,1878
340,1871,1885
407,1848,1841
416,1863,1817
387,1832,1877
344,1867,1885
352,1856,1888
427,1855,1814
420,1860,1816
385,1887,1824
371,1869,1856
390,1865,1841
394,1895,1807
430,1887,1779
407,1932,1757
398,1910,1788
383,1907,1806
329,1958,1809
344,1931,1821
370,1916,1810
396,1917,1783
403,1919,1774
431,1906,1759
404,1928,1764
375,1954,1767
351,1968,1777
383,1980,1733
399,1927,1770
392,1957,1747
402,1975,1719
376,1980,1740
