Achiral,Chiral A,Chiral B
3703,181,212
3558,250,288
3386,343,367
3238,401,457
3058,469,569
2836,568,692
2654,637,805
2445,755,896
2249,855,992
2030,930,1136
1758,1073,1265
1513,1161,1422
1272,1263,1561
1066,1354,1676
832,1436,1828
685,1490,1921
547,1535,2014
450,1584,2062
362,1604,2130
333,1631,2132
327,1633,2136
286,1673,2137
292,1661,2143
347,1636,2113
274,1657,2165
290,1631,2175
304,1624,2168
289,1599,2208
303,1595,2198
259,1594,2243
304,1571,2221
284,1581,2231
262,1571,2263
282,1544,2270
322,1544,2230
290,1550,2256
303,1564,2229
316,1548,2232
264,1555,2277
277,1545,2274
302,1547,2247
270,1566,2260
320,1558,2218
226,1606,2264
290,1600,2206
243,1624,2229
259,1625,2212
247,1613,2236
276,1608,2212
264,1591,2241
269,1566,2261
219,1602,2275
287,1586,2223
234,1603,2259
250,1591,2255
247,1606,2243
261,1576,2259
244,1579,2273
260,1580,2256
204,1604,2288
232,1597,2267
262,1587,2247
253,1590,2253
275,1575,2246
253,1589,2254
239,1581,2276
239,1600,2257
235,1612,2249
254,1576,2266
231,1591,2274
265,1572,2259
248,1587,2261
214,1607,2275
233,1565,2298
253,1570,2273
244,1574,2278
248,1571,2277
214,1588,2294
253,1574,2269
223,1595,2278
260,1578,2258
200,1584,2312
263,1558,2275
240,1563,2293
259,1545,2292
234,1542,2320
261,1523,2312
249,1546,2301
233,1550,2313
230,1543,2323
216,1549,2331
228,1543,2325
252,1535,2309
248,1547,2301
228,1567,2301
240,1567,2289
259,1541,2296
212,1561,2323
229,1539,2328
237,1528,2331
259,1517,2320
