Achiral,Chiral A,Chiral B
14776,813,795
13819,1240,1325
13012,1631,1741
12183,2073,2128
11226,2488,2670
10237,2914,3233
9180,3341,3863
8125,3775,4484
7053,4222,5109
6086,4645,5653
5218,4921,6245
4348,5294,6742
3605,5596,7183
2954,5902,7528
2551,6062,7771
2265,6153,7966
2042,6206,8136
1850,6183,8351
1817,6160,8407
1701,6204,8479
1742,6130,8512
1779,6130,8475
1739,6144,8501
1535,6160,8689
1558,6139,8687
1664,6046,8674
1635,6039,8710
1608,6002,8774
1608,5937,8839
1587,5847,8950
1535,5876,8973
1427,5977,8980
1491,5936,8957
1525,6002,8857
1625,5869,8890
1506,5913,8965
1341,5958,9085
1506,5873,9005
1529,5877,8978
1440,5954,8990
1425,5890,9069
1471,5915,8998
1513,5814,9057
1412,5882,9090
1439,5913,9032
1428,5876,9080
1473,5861,9050
1455,5857,9072
1418,5868,9098
1476,5830,9078
1315,5885,9184
1427,5851,9106
1484,5794,9106
1380,5788,9216
1452,5738,9194
1429,5729,9226
1390,5756,9238
1407,5716,9261
1380,5752,9252
1432,5723,9229
1423,5709,9252
1412,5685,9287
1343,5690,9351
1477,5630,9277
1366,5656,9362
1319,5578,9487
1384,5596,9404
1291,5587,9506
1369,5534,9481
1311,5607,9466
1366,5545,9473
1350,5530,9504
1243,5565,9576
1362,5491,9531
1256,5505,9623
1344,5479,9561
1338,5428,9618
1315,5459,9610
1391,5390,9603
1392,5414,9578
1326,5412,9646
1293,5388,9703
1329,5294,9761
1335,5302,9747
1409,5282,9693
1332,5281,9771
1366,5310,9708
1322,5246,9816
1313,5272,9799
1305,5247,9832
1405,5175,9804
1316,5197,9871
1250,5221,9913
1277,5168,9939
1318,5175,9891
1286,5225,9873
1315,5197,9872
1359,5149,9876
1308,5154,9922
1282,5132,9970
1254,5140,9990
1301,5146,9937
1296,5153,9935
1323,5148,9913
1288,5145,9951
1372,5143,9869
1379,5068,9937
1252,5117,10015
1285,5141,9958
1304,5107,9973
1311,5074,9999
1344,5054,9986
1226,5121,10037
1301,5053,10030
1306,5036,10042
1237,5075,10072
1201,5074,10109
1230,5072,10082
1262,5005,10117
1294,5002,10088
1361,4988,10035
1190,5071,10123
1194,5081,10109
1292,4997,10095
1196,5057,10131
1272,4974,10138
1349,4928,10107
1413,4960,10011
1310,4920,10154
1216,5002,10166
1200,4940,10244
1233,4919,10232
1223,4907,10254
1404,4810,10170
1325,4832,10227
1168,4918,10298
1237,4911,10236
1305,4869,10210
1309,4861,10214
1319,4861,10204
1254,4850,10280
1237,4886,10261
1318,4837,10229
1367,4803,10214
1269,4793,10322
1209,4814,10361
1209,4794,10381
1209,4742,10433
1167,4736,10481
1235,4716,10433
1218,4767,10399
1276,4716,10392
1267,4723,10394
1290,4714,10380
1382,4703,10299
1259,4768,10357
1275,4772,10337
1203,4802,10379
1318,4743,10323
1280,4741,10363
1335,4718,10331
1266,4738,10380
1239,4784,10361
1324,4712,10348
1321,4721,10342
1296,4708,10380
1324,4665,10395
1357,4630,10397
1272,4694,10418
1296,4698,10390
1286,4658,10440
1344,4666,10374
1379,4591,10414
1248,4574,10562
1253,4653,10478
1327,4650,10407
1327,4625,10432
1299,4678,10407
1283,4631,10470
1254,4670,10460
1311,4641,10432
1259,4584,10541
1313,4536,10535
1390,4481,10513
1275,4551,10558
1317,4514,10553
1181,4548,10655
1293,4518,10573
1311,4498,10575
1247,4522,10615
1312,4469,10603
1279,4465,10640
1194,4504,10686
1277,4448,10659
1192,4517,10675
1352,4494,10538
1219,4525,10640
1312,4434,10638
1223,4396,10765
1239,4399,10746
1184,4380,10820
1175,4418,10791
1221,4397,10766
1214,4328,10842
1179,4352,10853
1187,4337,10860
1289,4328,10767
1255,4314,10815
1256,4271,10857
1306,4250,10828
1359,4188,10837
1270,4233,10881
1331,4233,10820
1307,4201,10876
1229,4261,10894
1257,4239,10888
1219,4241,10924
1290,4218,10876
1320,4165,10899
1231,4126,11027
1248,4153,10983
1213,4166,11005
1125,4164,11095
1209,4123,11052
1226,4045,11113
1278,4065,11041
1200,4097,11087
1286,4067,11031
1350,4053,10981
1212,4100,11072
1295,4074,11015
1218,4091,11075
1310,4080,10994
1300,4175,10909
1220,4141,11023
1222,4119,11043
1292,4067,11025
1276,4100,11008
1252,4096,11036
1278,4095,11011
1296,4066,11022
1238,4093,11053
1199,4111,11074
1232,4125,11027
1284,4104,10996
1270,4133,10981
1259,4096,11029
1300,4109,10975
1261,4079,11044
1267,4094,11023
1347,4052,10985
