Achiral,Chiral A,Chiral B
3703,181,212
3513,273,310
3255,400,441
3107,450,539
2862,541,693
2592,675,829
2371,790,935
2136,921,1039
1825,1062,1209
1598,1156,1342
1364,1250,1482
1183,1341,1572
990,1437,1669
800,1569,1727
706,1605,1785
637,1631,1828
531,1675,1890
487,1671,1938
447,1698,1951
402,1678,2016
442,1656,1998
375,1679,2042
417,1658,2021
364,1667,2065
354,1670,2072
391,1636,2069
358,1638,2100
393,1621,2082
354,1621,2121
365,1601,2130
347,1596,2153
388,1587,2121
348,1633,2115
332,1641,2123
352,1660,2084
448,1583,2065
339,1623,2134
374,1613,2109
327,1603,2166
312,1626,2158
331,1608,2157
370,1592,2134
345,1592,2159
369,1574,2153
376,1549,2171
351,1547,2198
355,1546,2195
322,1597,2177
359,1548,2189
309,1570,2217
333,1553,2210
306,1543,2247
333,1548,2215
322,1516,2258
329,1524,2243
326,1521,2249
286,1545,2265
300,1528,2268
287,1516,2293
329,1513,2254
339,1506,2251
349,1494,2253
308,1498,2290
359,1471,2266
280,1525,2291
325,1487,2284
322,1500,2274
317,1497,2282
342,1481,2273
303,1473,2320
339,1493,2264
367,1474,2255
326,1453,2317
299,1479,2318
312,1479,2305
292,1461,2343
309,1448,2339
313,1455,2328
340,1420,2336
320,1420,2356
319,1434,2343
339,1426,2331
325,1421,2350
366,1375,2355
350,1427,2319
311,1418,2367
326,1411,2359
281,1413,2402
305,1400,2391
305,1368,2423
341,1334,2421
300,1336,2460
332,1334,2430
318,1332,2446
271,1340,2485
299,1328,2469
326,1296,2474
339,1276,2481
327,1269,2500
308,1273,2515
306,1263,2527
